英単語,日本語意味
cause,原因
ceiling,天井
celebrate,祝う
celebration,お祝い
celebrity,有名人
cell,細胞
center,センター
central,セントラル
century,世紀
CEO,最高経営責任者（CEO
ceremony,式
certain,一定
certainly,もちろん
chain,鎖
chair,椅子
chairman,会長
challenge,チャレンジ
chamber,チェンバー
champion,チャンピオン
championship,チャンピオンシップ
chance,機会
change,変化する
changing,変化
channel,チャネル
chapter,章
character,キャラクター
characteristic,特性
characterize,特徴づけます
charge,充電
charity,チャリティ
chart,チャート
chase,追跡
cheap,安いです
check,小切手
cheek,頬
cheese,チーズ
chef,シェフ
chemical,ケミカル
chest,胸
chicken,チキン
chief,チーフ
child,子
childhood,子供時代
Chinese,中国の
chip,チップ
chocolate,チョコレート
choice,選択
cholesterol,コレステロール
choose,選択
Christian,キリスト教徒
Christmas,クリスマス
church,教会
cigarette,シガレット
circle,サークル
circumstance,事情
cite,引用します
citizen,市民
city,市
civil,民事上
civilian,民間人
claim,請求
class,クラス
classic,クラシック
classroom,教室
clean,掃除
clear,晴れ
clearly,はっきり
client,クライアント
climate,気候
climb,登る
clinic,診療所
clinical,臨床の
clock,時計
close,閉じる
closely,密接に
closer,クローザー
clothes,服
clothing,衣類
cloud,雲
club,クラブ
clue,手掛かり
cluster,集まる
coach,コーチ
coal,石炭
coalition,連立
coast,海岸
coat,コート
code,コード
coffee,コーヒー
cognitive,認知
cold,コールド
collapse,崩壊
colleague,同僚
collect,コレクト
collection,コレクション
collective,集合的な
college,カレッジ
colonial,コロニアル
color,色
column,カラム
combination,組み合わせ
combine,コンバイン
come,来ます
comedy,コメディ
comfort,快適さ
comfortable,快適
command,コマンド
commander,指揮官
comment,コメント
commercial,商業の
commission,手数料
commit,コミット
commitment,コミットメント
committee,委員会
common,一般
communicate,コミュニケート
communication,コミュニケーション
community,コミュニティ
company,会社
compare,比較します
comparison,比較
compete,競合
competition,コンペ
competitive,競争の
competitor,競合他社選手
complain,文句を言います
complaint,苦情文句
complete,コンプリート
completely,完全に
complex,繁雑
complicated,複雑
component,成分
compose,コン
composition,組成
comprehensive,包括的
computer,コンピューター
concentrate,集中
concentration,濃度
concept,概念
concern,懸念
concerned,心配している
concert,コンサート
conclude,結論
conclusion,結論
concrete,コンクリート
condition,状態
conduct,行動
conference,会議
confidence,信頼
confident,自信を持って
confirm,確認
conflict,コンフリクト
confront,対面
confusion,錯乱
Congress,会議
congressional,議会
connect,接続
connection,接続
consciousness,意識
consensus,コンセンサス
consequence,結果
conservative,保守的
consider,考えます
considerable,かなりの
consideration,考慮
consist,成ります
consistent,首尾一貫した
constant,絶え間ない
constantly,絶えず
constitute,構成します
constitutional,憲法の
construct,構文
construction,建設
consultant,コンサルタント
consume,消費します
consumer,消費者
consumption,消費
contact,連絡先
contain,含む
container,コンテナ
contemporary,コンテンポラリー
content,コンテンツ
contest,コンテスト
context,環境
continue,継続する
continued,続け
contract,契約する
contrast,コントラスト
contribute,助ける
contribution,貢献
control,コントロール
controversial,物議を醸します
controversy,論争
convention,コンベンション
conventional,従来の
conversation,会話
convert,変換
conviction,信念
convince,確信させます
cook,クック
cookie,クッキー
cooking,料理
cool,涼しい
cooperation,連携
cop,警官
cope,対処
copy,コピー
core,芯
corn,コーン
corner,コーナー
corporate,会社の
corporation,株式会社
correct,正しい
correspondent,特派員
cost,費用
cotton,コットン
couch,ソファー
could,たぶん......だろう
council,協議会
counselor,カウンセラー
count,カウント
counter,カウンター
country,国
county,郡
couple,カップル
courage,勇気
course,コース
court,裁判所
cousin,いとこ
cover,カバー
coverage,カバレッジ
cow,牛
crack,亀裂
craft,クラフト
crash,クラッシュ
crazy,クレージー
cream,クリーム
create,作ります
creation,創造
creative,創造的
creature,生物
credit,クレジット
crew,クルー
crime,犯罪
criminal,犯罪者
crisis,危機
criteria,基準
critic,評論家
critical,クリティカル
criticism,批判
criticize,批判します
crop,収穫
cross,クロス
crowd,群集
crucial,重要
cry,泣く
cultural,文化的
culture,文化
cup,カップ
curious,奇妙な
current,電流
currently,現在
curriculum,カリキュラム
custom,カスタム
customer,お客様
cut,切る
cycle,サイクル
dad,パパ
daily,日々
damage,ダメージ
dance,ダンス
danger,危険
dangerous,危険な
dare,挑戦
dark,闇
darkness,闇
data,データ
date,日付
daughter,娘
day,日
dead,デッド
deal,対処
dealer,ディーラー
dear,親愛な
death,死
debate,ディベート
debt,債務
decade,一昔
decide,決めます
decision,決定
deck,デッキ
declare,宣言
decline,低下
decrease,減少
deep,深い
deeply,深く
deer,鹿
defeat,敗北
defend,守る
defendant,被告
defense,防衛
defensive,守備の
deficit,赤字
define,定義
definitely,間違いなく
definition,定義
degree,程度
delay,ディレイ
deliver,届けます
delivery,配達
demand,要求する
democracy,民主主義
Democrat,民主党員
democratic,民主的な
demonstrate,証明します
demonstration,デモンストレーション
deny,否定します
department,部門
depend,依存
dependent,依存
depending,依存
depict,描い
depression,うつ病
depth,深さ
deputy,副
derive,派生する
describe,述べます
description,説明
desert,砂漠
deserve,値する
design,設計
designer,デザイナー
desire,欲望
desk,机
desperate,やけくその
despite,にもかかわらず
destroy,破壊
destruction,破壊
detail,ディテール
detailed,詳細に
detect,検出
determine,定めます
develop,発展させる
developing,現像
development,開発
device,端末
devote,捧げます
dialogue,対話
die,死にます
diet,ダイエット
differ,異なる
difference,差
different,異なります
differently,異なっ
difficult,難しいです
difficulty,困難
dig,掘る
digital,デジタル
dimension,寸法
dining,ダイニング
dinner,晩ごはん
direct,直接
direction,方向
directly,直接
director,ディレクター
dirt,泥
dirty,汚れた
disability,身体障害
disagree,同意
disappear,姿を消す
disaster,災害
discipline,懲戒
discourse,講話
discover,発見する
discovery,発見
discrimination,差別
discuss,話し合います
discussion,討論
disease,疾患
dish,皿
dismiss,退出させる
disorder,無秩序
display,表示
dispute,紛争
distance,距離
distant,遠く
distinct,明確な
distinction,区別
distinguish,見分けます
distribute,分配します
distribution,分布
district,地区
diverse,多様
diversity,多様性
divide,分割
division,分割
divorce,離婚
DNA,DNA
do,行う
doctor,医師
document,資料
dog,犬
domestic,国内の
dominant,支配的な
dominate,支配
door,ドア
double,ダブル
doubt,疑問に思う
down,ダウン
downtown,ダウンタウン
dozen,ダース
draft,ドラフト
drag,引っ張る
drama,ドラマ
dramatic,劇的
dramatically,劇的
draw,ドロー
drawing,図
dream,夢
dress,ドレス
drink,ドリンク
drive,ドライブ
driver,運転者
drop,落とす
drug,薬
dry,ドライ
due,原因
during,間に
dust,ほこり
duty,関税
each,各
eager,熱心な
ear,耳
early,早いです
earn,得ます
earnings,収入
earth,地球
ease,簡易
easily,簡単に
east,東
eastern,東の
easy,イージー
eat,食べる
economic,経済の
economics,経済
economist,エコノミスト
economy,経済
edge,縁
edition,版
editor,編集者
educate,教育します
education,教育
educational,教育の
educator,教師
effect,効果
effective,効果的な
effectively,効果的
efficiency,効率
efficient,効率的
effort,努力
egg,卵
eight,8
either,どちらか
elderly,年配
elect,次期
election,選挙
electric,電気の
electricity,電気
electronic,電子
element,素子
elementary,小学校
eliminate,省きます
elite,エリート
else,そうしないと
elsewhere,他の場所
e-mail,Eメール
embrace,擁する
emerge,出てきます
emergency,緊急
emission,放射
emotion,感情
emotional,感情の
emphasis,重点
emphasize,強調
employ,採用
employee,社員
employer,雇用者
employment,雇用
empty,空の
enable,有効
encounter,出会い
encourage,奨励します
end,終わり
enemy,敵
energy,エネルギー
enforcement,執行
engage,従事する
engine,エンジン
engineer,エンジニア
engineering,エンジニアリング
English,英語
enhance,強化
enjoy,楽しい
enormous,莫大
enough,足りる
ensure,確保
enter,入る
enterprise,企業
entertainment,エンターテインメント
entire,全体
entirely,全く
entrance,入り口
entry,エントリ
environment,環境
environmental,環境の
episode,エピソード
equal,等しい
equally,平等に
equipment,装置
era,時代
error,エラー
escape,逃れる
especially,特に
essay,エッセイ
essential,不可欠
essentially,本来
establish,確立する
establishment,確立
estate,エステート
estimate,推計
etc,等
ethics,倫理
ethnic,エスニック
European,欧州の
evaluate,評価します
evaluation,評価
even,さえ
evening,イブニング
event,イベント
eventually,結局
ever,今までに
every,すべての
everybody,皆
everyday,毎日
everyone,全員
everything,すべて
everywhere,どこにでも
evidence,証拠
evolution,進化
evolve,進化
exact,精密
exactly,丁度
examination,検査
examine,診る
example,例
exceed,上回ります
excellent,優秀な
except,除きます
exception,例外
exchange,両替
exciting,エキサイティング
executive,エグゼクティブ
exercise,運動
exhibit,示す
exhibition,エキシビション
exist,が存在
existence,存在
existing,既存の
expand,広げます
expansion,拡張
expect,期待します
expectation,期待
expense,費用
expensive,高価な
experience,経験
experiment,実験
expert,専門
explain,説明します
explanation,説明
explode,爆発します
explore,見る
explosion,爆発
expose,晒します
exposure,曝露
express,急行
expression,表現
extend,延ばします
extension,拡張
extensive,広範囲
extent,エクステント
external,外部の
extra,エクストラ
extraordinary,素晴らしいです
extreme,極端な
extremely,極めて
eye,眼
fabric,ファブリック
face,面
facility,施設
fact,事実
factor,因子
factory,工場
faculty,学部
fade,フェード
fail,不合格
failure,故障
fair,公正な
fairly,かなり
faith,信仰
fall,秋
FALSE,FALSE
familiar,よく知られています
family,家族
famous,名高いです
fan,ファン
fantasy,ファンタジー
far,遥か
farm,ファーム
farmer,農家
fashion,ファッション
fast,速いです
fat,太い
fate,運命
father,お父さん
fault,欠陥
favor,好意
favorite,お気に入り
fear,恐れ
feature,特徴
federal,連邦の
fee,費用
feed,フィード
feel,感じます
feeling,感じ
fellow,仲間
female,女性
fence,フェンス
few,少数
fewer,少ないです
fiber,ファイバ
fiction,フィクション
field,フィールド
fifteen,15
fifth,第五の
fifty,五十
fight,戦い
fighter,戦士
fighting,戦い
figure,フィギュア
file,ファイル
fill,フィル
film,映画
final,最後の
finally,最終的に
finance,ファイナンス
financial,金融
find,見つけます
finding,発見
fine,罰金
finger,指
finish,仕上がり
fire,火
firm,当社
first,最初
fish,魚
fishing,釣り
fit,フィット
fitness,フィットネス
five,五
fix,修正
flag,国旗
flame,火炎
flat,平らな
flavor,味
flee,逃げます
flesh,肉
flight,フライト
float,浮く
floor,床
flow,フロー
flower,花
fly,飛ぶ
focus,フォーカス
folk,フォーク
follow,従います
following,以下
food,食物
foot,足
football,フットボール
for,にとって
force,力
foreign,外国の
forest,森林
forever,永久に
forget,忘れる
form,形
formal,フォーマル
formation,形成
former,前者
formula,式
forth,前方へ
fortune,幸運
forward,前方に
found,ました
foundation,財団
founder,創業者
four,四
fourth,第4
frame,フレーム
framework,フレームワーク
free,自由
freedom,自由
freeze,氷結
French,フランス語
frequency,周波数
frequent,頻出
frequently,しばしば
fresh,新鮮な
friend,友人
friendly,優しいです
friendship,友情
from,から
front,前面
fruit,フルーツ
frustration,欲求不満
fuel,燃料
full,いっぱい
fully,十分
fun,遊び
function,関数
fund,基金
fundamental,基本的な
funding,資金調達
funeral,葬儀
funny,おもしろいです
furniture,家具
furthermore,更に
future,未来
gain,利得
galaxy,銀河
gallery,画廊
game,ゲーム
gang,ギャング
gap,ギャップ
garage,ガレージ
garden,庭園
garlic,ニンニク
gas,ガス
gate,ゲート
gather,ギャザー
gay,ゲイ
gaze,視線
gear,装備
gender,性別
gene,遺伝子
general,一般的な
generally,概して
generate,生む
generation,世代
genetic,遺伝子の
gentleman,紳士
gently,優しく
German,ドイツ人
gesture,ジェスチャー
get,取得する
ghost,幽霊
giant,巨人
gift,贈り物
gifted,才能
girl,女の子
girlfriend,ガールフレンド
give,与える
given,所与
glad,嬉しいです
glance,一目
glass,ガラス
global,グローバル
glove,グローブ
go,行きます
goal,ゴール
God,神
gold,ゴールド
golden,ゴールデン
golf,ゴルフ
good,良い
government,政府
governor,知事
grab,つかむ
grade,グレード
gradually,徐々に
graduate,卒業
grain,粒
grand,壮大な
grandfather,祖父
grandmother,祖母
grant,付与
grass,草
grave,墓
gray,グレー
great,すごい
greatest,最高の
green,緑
grocery,食料品
ground,接地
group,グループ
grow,育ちます
growing,成長
growth,成長
guarantee,保証
guard,ガード
guess,推測
guest,ゲスト
guide,ガイド
guideline,ガイドライン
guilty,有罪の
gun,銃
guy,男
habit,習慣
habitat,生息地
hair,ヘア
half,ハーフ
hall,ホール
hand,手
handful,一握り
handle,扱う
hang,ハング
happen,起こります
happy,ハッピー
hard,ハード
hardly,漸く
hat,帽子
hate,嫌い
have,持ってる
he,彼
head,頭
headline,見出し
headquarters,本部
health,健康
healthy,元気
hear,聞く
hearing,聴覚
heart,ハート
heat,熱
heaven,天国
heavily,ずっしり
heavy,ヘビー
heel,ヒール
height,高さ
helicopter,ヘリコプター
hell,地獄
hello,こんにちは
help,助けて
helpful,有用
her,彼女の
here,ここに
heritage,遺産
hero,ヒーロー
herself,彼女自身
hey,ちょっと
hi,こんにちは
hide,隠す
high,高い
highlight,ハイライト
highly,高度に
highway,高速道路
hill,丘
him,彼を
himself,彼自身
hip,ヒップ
hire,雇う
his,彼の
historian,歴史家
historic,歴史的
historical,歴史的
history,歴史
hit,ヒット
hold,ホールド
hole,穴
holiday,休日
holy,聖なる
home,家
homeless,ホームレス
honest,正直な
honey,はちみつ
honor,名誉
hope,望む
horizon,地平線
horror,ホラー
horse,うま
hospital,病院
host,ホスト
hot,ホット
hotel,ホテル
hour,時間
house,家
household,家庭
housing,ハウジング
how,どうやって
however,しかしながら
huge,巨大
human,人間
humor,ユーモア
hundred,百
hungry,空腹の
hunter,猟師
hunting,狩猟
hurt,傷つい
husband,夫
hypothesis,仮説
I,私
ice,氷
idea,考え
ideal,理想的
identification,識別
identify,識別
identity,身元
ie,すなわち
if,もし
ignore,無視します
ill,病気で
illegal,違法
illness,病気
illustrate,説明
image,画像
imagination,想像力
imagine,想像します
immediate,即座
immediately,直ちに
immigrant,移民
immigration,移民
impact,影響
implement,インプリメント
implication,含意
imply,暗示
importance,重要性
important,重要
impose,課す
impossible,不可能な
impress,IMPRESS
impression,印象
impressive,印象的
improve,改善します
improvement,改善
in,に
incentive,動機
incident,インシデント
include,含めます
including,含みます
income,所得
incorporate,組み込ん
increase,増加する
increased,増加
increasing,増加
increasingly,ますます
incredible,信じられません
indeed,確かに
independence,独立
independent,独立の
index,指数
Indian,インディアン
indicate,示す
indication,表示
individual,個人
industrial,インダストリアル
industry,業界
infant,幼児
infection,感染
inflation,インフレーション
influence,影響
inform,通知します
information,情報
ingredient,成分
initial,初期
initially,当初、
initiative,主導権
injury,けが
inner,インナー
innocent,無実の
inquiry,問い合わせ
inside,内部
insight,洞察
insist,言い張ります
inspire,INSPIRE
install,インストール
instance,インスタンス
instead,その代わり
institution,施設
institutional,制度
instruction,命令
instructor,インストラクター
instrument,器械
insurance,保険
intellectual,知的
intelligence,インテリジェンス
intend,予定の
intense,激しいです
intensity,強
intention,意図
interaction,インタラクション
interest,関心
interested,興味がある
interesting,面白い
internal,内部
international,インターナショナル
Internet,インターネット
interpret,解釈
interpretation,解釈
intervention,介入
interview,インタビュー
into,に
introduce,導入する
introduction,前書き
invasion,侵入
invest,インベスト
investigate,調べます
investigation,調査
investigator,求道者
investment,投資
investor,投資家
invite,招待する
involve,巻き込みます
involved,関与
involvement,関与
Iraqi,イラク人
Irish,アイルランド人
iron,鉄
Islamic,イスラム教の
island,島
Israeli,イスラエル人
issue,問題
it,それ
Italian,イタリアの
item,項目
its,それの
itself,自体
jacket,ジャケット
jail,刑務所
Japanese,日本人
jet,ジェット
Jew,ユダヤ人
Jewish,ユダヤ人の
job,ジョブ
join,加わります
joint,ジョイント
joke,冗談で
journal,ジャーナル
journalist,ジャーナリスト
journey,旅
joy,喜び
judge,裁判官
judgment,判定
juice,ジュース
jump,ジャンプ
junior,ジュニア
jury,陪審
just,ただ
justice,正義
justify,正当化
keep,保つ
key,キー
kick,キック
kid,キッド
kill,殺します
killer,キラー
killing,殺害
kind,種類
king,キング
kiss,接吻
kitchen,キッチン
knee,膝
knife,ナイフ
knock,ノック
know,知っています
knowledge,知識
lab,ラボ
label,ラベル
labor,労働
laboratory,研究室
lack,欠如
lady,レディ
lake,湖
land,土地
landscape,ランドスケープ
language,言語
lap,ラップ
large,大
largely,大部分
last,最終
late,遅く
later,後
Latin,ラテン語
latter,後者
laugh,笑い
launch,打ち上げ
law,法律
lawn,芝生
lawsuit,訴訟
lawyer,弁護士
lay,素人
layer,層
lead,鉛
leader,盟主
leadership,リーダーシップ
leading,リーディング
leaf,葉
league,同盟
lean,リーン
learn,学びます
learning,ラーニング
least,最低
leather,レザー
leave,休暇
left,左
leg,脚
legacy,レガシー
legal,法的
legend,伝説
legislation,立法
legitimate,正当
lemon,レモン
length,長さ
less,もっと少なく
lesson,レッスン
let,てみましょう
letter,文字
level,レベル
liberal,リベラル
library,図書館
license,ライセンス
lie,横たわる
life,生活
lifestyle,ライフスタイル
lifetime,一生
lift,リフト
light,光
like,お気に入り
likely,恐らく
limit,リミット
limitation,制限
limited,限られました
line,ライン
link,リンク
lip,リップ
list,リスト
listen,聴く
literally,文字通り
literary,文学の
literature,文献
little,少し
live,住む
living,生活
load,負荷
loan,ローン
local,地元
locate,見つけます
location,ロケーション
lock,ロック
long,長いです
long-term,長期
look,外観
loose,緩いです
lose,失う
loss,損失
lost,失われました
lot,たくさん
lots,たくさんの
loud,うるさいです
love,愛
lovely,美しい
lover,恋人
low,低いです
lower,下
luck,幸運
lucky,幸運な
lunch,ランチ
lung,肺
machine,機械
mad,怒っ
magazine,マガジン
mail,郵便物
main,メイン
mainly,主に
maintain,維持します
maintenance,メンテナンス
major,主要な
majority,大多数
make,メイク
maker,メーカ
makeup,化粧
male,男性
mall,モール
man,おとこ
manage,管理します
management,管理
manager,マネージャー
manner,やり方
manufacturer,メーカー
manufacturing,加工
many,たくさんの
map,地図
margin,マージン
mark,マーク
market,市場
marketing,マーケティング
marriage,結婚
married,既婚
marry,結婚します
mask,マスク
mass,質量
massive,大規模な
master,主人
match,一致
material,材料
math,数学
matter,案件
may,五月
maybe,多分
mayor,市長
me,私に
meal,お食事
mean,平均
meaning,意味
meanwhile,その間に
measure,対策
measurement,測定
meat,お肉
mechanism,機構
media,メディア
medical,医療の
medication,投薬
medicine,薬
medium,中
meet,会います
meeting,会議
member,メンバー
membership,メンバーシップ
memory,メモリ
mental,メンタル
mention,言及
menu,メニュー
mere,ほんの
merely,単に
mess,乱雑
message,メッセージ
metal,金属
meter,メートル
method,方法
Mexican,メキシコ
middle,中間
might,かもしれません
military,軍事的
milk,ミルク
million,百万
mind,マインド
mine,私の
minister,牧師
minor,マイナー
minority,少数
minute,分
miracle,奇跡
mirror,鏡
miss,お嬢
missile,ミサイル
mission,ミッション
mistake,間違い
mix,ミックス
mixture,混合
mm-hmm,MM-HMM
mode,モード
model,モデル
moderate,適度
modern,近代的
modest,控えめ
mom,ママ
moment,瞬間
money,お金
monitor,モニター
month,月
mood,気分
moon,月
moral,道徳の
more,もっと
moreover,又
morning,朝
mortgage,モーゲージ
most,最も
mostly,大半
mother,母
motion,モーション
motivation,動機
motor,モーター
mount,マウント
mountain,山
mouse,マウス
mouth,口
move,動き
movement,移動
movie,映画
Mr,氏
Mrs,夫人
Ms,MS
much,はるかに
multiple,複数
murder,殺人
muscle,筋
museum,博物館
music,音楽
musical,ミュージカル
musician,音楽家
Muslim,イスラム教徒
must,必見
mutual,相互
my,僕の
myself,私自身
mystery,神秘
myth,神話
naked,裸
name,名前
narrative,説話
narrow,狭い
nation,国家
national,国民
native,ネイティブ
natural,ナチュラル
naturally,当然
nature,自然
near,近く
nearby,近所の
nearly,ほとんど
necessarily,必ずしも
necessary,必要
neck,首
need,必要
negative,負
negotiate,交渉します
negotiation,ネゴシエーション
neighbor,隣人
neighborhood,ご近所
neither,どちらもありません
nerve,神経
nervous,ナーバス
net,ネット
network,通信網
never,決して
nevertheless,それにもかかわらず
new,新着
newly,新しく
news,ニュース
newspaper,新聞
next,次
nice,すてきな
night,夜
nine,九つ
no,番号
nobody,だれも
nod,うなずき
noise,ノイズ
nomination,指名
none,なし
nonetheless,それにもかかわらず
nor,も
normal,正常
normally,通常は
north,北
northern,北方
nose,鼻
not,ではありません
note,注意
nothing,何も
notice,通知
notion,概念
novel,小説
now,今
nowhere,どこにも
n't,ではありません
nuclear,核の
number,数
numerous,数々
nurse,ナース
nut,ナット
object,オブジェクト
objective,目的
obligation,義務
observation,観察
observe,観察する
observer,観察者
obtain,入手します
obvious,明らか
obviously,明らかに
occasion,時
occasionally,時には
occupation,職業
occupy,占める
occur,発生する
ocean,海洋
odd,奇妙な
odds,オッズ
of,の
off,オフ
offense,犯罪
offensive,攻撃
offer,提供
office,オフィス
officer,役員
official,公式
often,しばしば
oh,ああ
oil,油
ok,OK
okay,はい
old,古い
Olympic,オリンピック
on,オン
once,一度
one,1
ongoing,現在進行中
onion,玉ねぎ
online,オンライン
only,のみ
onto,へ
open,開いた
opening,オープニング
operate,操作します
operating,オペレーティング
operation,操作
operator,オペレーター
opinion,意見
opponent,相手
opportunity,機会
oppose,反対します
opposite,逆の
opposition,反対
option,オプション
or,若しくは
orange,オレンジ
order,注文
ordinary,一般
organic,オーガニック
organization,組織
organize,整理
orientation,オリエンテーション
origin,原点
original,元の
originally,元々
other,他の
others,他人
otherwise,そうでなければ
ought,べき
our,私達の
ourselves,自分自身
out,アウト
outcome,結果
outside,外側
oven,オーブン
over,オーバー
overall,全体
overcome,打ち勝ちます
overlook,見落とします
owe,負います
own,自分の
owner,オーナー
pace,ペース
pack,パック
package,パッケージ
page,ページ
pain,痛み
painful,痛いです
paint,ペイント
painter,画家
painting,ペインティング
pair,ペア
pale,淡いです
Palestinian,パレスチナ
palm,手のひら
pan,パン
panel,パネル
pant,パンツ
paper,論文
parent,親
park,パーク
parking,パーキング
part,部
participant,参加者
participate,参加します
participation,参加
particular,特定の
particularly,特に
partly,一部に
partner,相棒
partnership,パートナーシップ
party,パーティー
pass,パス
passage,通路
passenger,旅客
